Subject,name,alternative label,country,knows,population,Subject,Date Created,name,livesIn,mbox,type,preferred label (en)
http://example.org/paul,Paul Brown,,,john,,,2020-12-30,,london,paul@brown.com,http://xmlns.com/foaf/0.1/Person,
http://example.org/paul,Paul Brown,,,mary,,,2020-12-30,,london,paul@brown.com,http://xmlns.com/foaf/0.1/Person,
http://example.org/lucia,Lucia Martinez,,,mary,,,,,berlin,lucia.martinez@ex.org,http://xmlns.com/foaf/0.1/Person,
http://example.org/paris,,,France,,2161000,france,,Paris,,,http://example.org/City,Paris
http://example.org/london,,,United Kingdom,,8982000,uk,,London,,,http://example.org/City,London
http://example.org/mary,Mary Smith,,,,,,2021-04-13,,paris,mary@smith.com,http://xmlns.com/foaf/0.1/Person,
http://example.org/john,John Doe,,,,,,2022-01-02,,london,jdoe@example.org,http://xmlns.com/foaf/0.1/Person,
http://example.org/berlin,,,Germany,,3769000,germany,,Berlin,,,http://example.org/City,Berlin
http://example.org/uk,,UK,,,,,,United Kingdom,,,http://example.org/Country,
http://example.org/france,,,,,,,,France,,,http://example.org/Country,
http://example.org/germany,,,,,,,,Germany,,,http://example.org/Country,
