Subject,type,name (en),name (cs),established,numberOfBooks,isOpen,latitude,longitude,comment,Title (en),Title (cs),author,publishedYear,isbn,pageCount,availableCopies,name,givenName,familyName,birthDate,deathDate,nationality,reviewOf,rating,reviewText (en),reviewDate,reviewer,memberSince,mbox,memberId,age,address,street,city,postalCode,country (en),country (cs),borrower,borrowedBook,loanDate,dueDate,isOverdue,Title,booksInOrder,volumeNumber,year,totalVisitors,averageDaily,budget,growthRate,satisfactionScore,startTime,dateTime,duration,organizes,location,roomNumber,capacity,hasProjector,welcomeMessage (en),welcomeMessage (cs),welcomeMessage (fr),welcomeMessage (de),welcomeMessage (es)
http://example.org/library/central-library,http://example.org/vocab/Library,Central City Library,Centrální městská knihovna,1995-06-15,50000,true,50.0755,14.4378,"The main public library serving the city center.
Open Monday-Friday 9am-7pm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welcome to our library!,Vítejte v naší knihovně!,Bienvenue dans notre bibliothèque!,Willkommen in unserer Bibliothek!,¡Bienvenido a nuestra biblioteca!
http://example.org/book/1984,"http://example.org/vocab/Book,http://example.org/vocab/Fiction",,,,,,,,,Nineteen Eighty-Four,1984,http://example.org/person/george-orwell,1949,978-0-452-28423-4,328,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://example.org/book/pride-prejudice,http://example.org/vocab/Book,,,,,,,,,Pride and Prejudice,,http://example.org/person/jane-austen,1813,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://example.org/person/george-orwell,http://xmlns.com/foaf/0.1/Person,,,,,,,,,,,,,,,,George Orwell,Eric,Blair,1903-06-25,1950-01-21,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://example.org/person/jane-austen,http://xmlns.com/foaf/0.1/Person,,,,,,,,,,,,,,,,Jane Austen,,,1775-12-16,1817-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/0,http://example.org/vocab/Review,,,,,,,,,,,,,,,,,,,,,,http://example.org/book/1984,5,An absolute masterpiece of dystopian fiction!,2024-03-15,https://blank_Nodes_IRI.org/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1,http://xmlns.com/foaf/0.1/Person,,,,,,,,,,,,,,,,Anonymous Reader,,,,,,,,,,,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://example.org/member/m12345,http://example.org/vocab/LibraryMember,,Jan Novák,,,,,,,,,,,,,,Jan Novák,,,,,,,,,,,2018-09-01,mailto:jan.novak@example.com,M12345,34,https://blank_Nodes_IRI.org/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/2,http://example.org/vocab/Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Václavské náměstí 15,Praha,110 00,Czech Republic,Česká republika,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://example.org/loan/loan-2024-001,http://example.org/vocab/Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://example.org/member/m12345,http://example.org/book/1984,2024-11-01,2024-11-22,false,,,,,,,,,,,,,,,,,,,,,,
http://example.org/series/lord-of-the-rings,http://example.org/vocab/BookSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lord of the Rings,https://blank_Nodes_IRI.org/3,,,,,,,,,,,,,,,,,,,,
http://example.org/book/fellowship,http://example.org/vocab/Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fellowship of the Ring,,1,,,,,,,,,,,,,,,,,,,
http://example.org/book/two-towers,http://example.org/vocab/Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Two Towers,,2,,,,,,,,,,,,,,,,,,,
http://example.org/book/return-king,http://example.org/vocab/Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Return of the King,,3,,,,,,,,,,,,,,,,,,,
http://example.org/book/special-chars,http://example.org/vocab/Book,,,,,,,,"This book covers:
1. Library organization
2. Book cataloging
3. Digital archives

It's the definitive guide!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Books & Libraries: A ""Complete"" Guide",,,,,,,,,,,,,,,,,,,,,
http://example.org/stats/2024,http://example.org/vocab/AnnualStatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,125000,342.47,2500000.50,0.085,4.7,,,,,,,,,,,,,
http://example.org/event/reading-club,http://example.org/vocab/Event,,,,,,,,,Weekly Reading Club,Týdenní čtenářský kroužek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:30:00,2024-12-11T18:30:00,PT2H,,https://blank_Nodes_IRI.org/7,,,,,,,,
https://blank_Nodes_IRI.org/6,http://xmlns.com/foaf/0.1/Person,,,,,,,,,,,,,,,,Library Volunteer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://example.org/event/reading-club,,,,,,,,,
https://blank_Nodes_IRI.org/7,http://example.org/vocab/Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,25,true,,,,,
