Subject,Title,name,country,runsProject,member,collaborator,lead,homepage,mbox,type
org1,Open Data Initiative,,USA,http://example.org/projA,alice,,,http://www.opendata.org/,,http://example.org/Organization
org1,Open Data Initiative,,USA,http://example.org/projA,bob,,,http://www.opendata.org/,,http://example.org/Organization
org2,Semantic Web Foundation,,UK,projB,http://example.org/paul,,,http://www.semanticweb.org/,,http://example.org/Organization
org2,Semantic Web Foundation,,UK,projC,http://example.org/paul,,,http://www.semanticweb.org/,,http://example.org/Organization
projA,Linked Cities Dataset,,,,,http://example.org/bob,http://example.org/alice,,,http://example.org/Project
projB,Web Crawler for RDFa,,,,,,http://example.org/paul,,,http://example.org/Project
projC,Ontology Visualizer,,,,,paul,http://example.org/susan,,,http://example.org/Project
projC,Ontology Visualizer,,,,,alice,http://example.org/susan,,,http://example.org/Project
alice,,Alice Green,,,,,,,mailto:alice@opendata.org,http://xmlns.com/foaf/0.1/Person
bob,,Bob Blue,,,,,,,mailto:bob@opendata.org,http://xmlns.com/foaf/0.1/Person
paul,,Paul Black,,,,,,,mailto:paul@semanticweb.org,http://xmlns.com/foaf/0.1/Person
susan,,Susan Yellow,,,,,,,mailto:susan@semanticweb.org,http://xmlns.com/foaf/0.1/Person
